C_m_delta_e	U_0	rho	st	c	I_y	C_z_delta_e	m	kp	ki	kd
-1.32650000000000	90.0801603206413	1.29000000000000	0.695390781563126	0.189779559118236	0.170000000000000	-3.56500000000000	4084.16833667335	1.06000000000000	3.01000000000000	0.0100000000000000
-1.32650000000000	8.53907815631263	1.29000000000000	0.519038076152305	0.324148296593186	0.170000000000000	-3.56500000000000	7547.09418837675	3.01000000000000	2.16000000000000	1.01000000000000
-1.32650000000000	1	1.29000000000000	0.168336673346693	0.258316633266533	0.170000000000000	-3.56500000000000	4246.49298597194	0.100000000000000	0.100000000000000	0.100000000000000
-1.32650000000000	95.4368737474950	1.29000000000000	0.933867735470942	0.481963927855711	0.170000000000000	-3.56500000000000	2857.71543086172	1.11000000000000	6.51000000000000	0.0100000000000000
-1.32650000000000	16.6733466933868	1.29000000000000	0.571142284569138	0.316933867735471	0.170000000000000	-3.56500000000000	7294.58917835671	5.01000000000000	9.96000000000001	1.01000000000000
-1.32650000000000	31.1563126252505	1.29000000000000	0.392785571142285	0.201503006012024	0.170000000000000	-3.56500000000000	2154.30861723447	4.01000000000000	14.0100000000000	1.01000000000000
-1.32650000000000	9.53106212424850	1.29000000000000	0.549098196392786	0.192484969939880	0.170000000000000	-3.56500000000000	9945.89178356714	2.51000000000000	1.51000000000000	1.01000000000000
-1.32650000000000	72.6212424849699	1.29000000000000	0.573146292585170	0.372845691382766	0.170000000000000	-3.56500000000000	9801.60320641283	1.05000000000000	2.61000000000000	0.0100000000000000
-1.32650000000000	43.2585170340681	1.29000000000000	0.913827655310621	0.454008016032064	0.170000000000000	-3.56500000000000	8521.04208416834	5.85999999999999	1.06000000000000	0.0600000000000000
-1.32650000000000	5.56312625250501	1.29000000000000	0.358717434869740	0.182565130260521	0.170000000000000	-3.56500000000000	6663.32665330661	2.50000000000000	1.01000000000000	1.01000000000000
-1.32650000000000	14.4909819639279	1.29000000000000	0.374749498997996	0.439579158316633	0.170000000000000	-3.56500000000000	3254.50901803607	5.96000000000000	6.11000000000000	1.01000000000000
-1.32650000000000	3.77755511022044	1.29000000000000	1	0.322344689378758	0.170000000000000	-3.56500000000000	3200.40080160321	2.50000000000000	1.16000000000000	1.01000000000000
-1.32650000000000	44.4488977955912	1.29000000000000	0.735470941883768	0.300701402805611	0.170000000000000	-3.56500000000000	4949.89979959920	1.10000000000000	1.01000000000000	0.0100000000000000
-1.32650000000000	60.7174348697395	1.29000000000000	0.180360721442886	0.414328657314629	0.170000000000000	-3.56500000000000	8376.75350701403	1.51000000000000	2.46000000000000	0.0600000000000000
-1.32650000000000	49.2104208416834	1.29000000000000	0.755511022044088	0.232164328657315	0.170000000000000	-3.56500000000000	7529.05811623247	1	1.16000000000000	0.0100000000000000
-1.32650000000000	16.2765531062124	1.29000000000000	0.509018036072144	0.351202404809619	0.170000000000000	-3.56500000000000	2370.74148296593	5.56000000000000	8.31000000000000	1.01000000000000
-1.32650000000000	7.15030060120241	1.29000000000000	0.336673346693387	0.250200400801603	0.170000000000000	-3.56500000000000	7817.63527054108	2.50000000000000	1.11000000000000	1.01000000000000
-1.32650000000000	13.8957915831663	1.29000000000000	0.901803607214429	0.149198396793587	0.170000000000000	-3.56500000000000	4408.81763527054	3.51000000000000	5.51000000000000	1.01000000000000
-1.32650000000000	42.8617234468938	1.29000000000000	0.973947895791583	0.129358717434870	0.170000000000000	-3.56500000000000	8953.90781563126	1.10000000000000	1.01000000000000	0.0100000000000000
-1.32650000000000	55.5591182364730	1.29000000000000	0.320641282565130	0.454909819639279	0.170000000000000	-3.56500000000000	5887.77555110220	1.16000000000000	1.01000000000000	0.0600000000000000
-1.32650000000000	46.8296593186373	1.29000000000000	0.807615230460922	0.212324649298597	0.170000000000000	-3.56500000000000	9747.49498997996	1	1.01000000000000	0.0100000000000000
-1.32650000000000	55.9559118236473	1.29000000000000	0.769539078156313	0.356613226452906	0.170000000000000	-3.56500000000000	2839.67935871744	1.05000000000000	2.01000000000000	0.0100000000000000
-1.32650000000000	83.7314629258517	1.29000000000000	0.865731462925852	0.0680360721442886	0.170000000000000	-3.56500000000000	6537.07414829659	1	1.51000000000000	0.0100000000000000
-1.32650000000000	27.9819639278557	1.29000000000000	0.747494989979960	0.269138276553106	0.170000000000000	-3.56500000000000	8142.28456913828	4.76000000000000	14.4600000000000	1.01000000000000
-1.32650000000000	52.9799599198397	1.29000000000000	0.597194388777555	0.149198396793587	0.170000000000000	-3.56500000000000	4282.56513026052	1.10000000000000	1.01000000000000	0.0100000000000000
-1.32650000000000	30.3627254509018	1.29000000000000	0.851703406813627	0.488276553106212	0.170000000000000	-3.56500000000000	6609.21843687375	5.36000000000000	17.1600000000001	1.01000000000000
-1.32650000000000	89.4849699398798	1.29000000000000	0.981963927855711	0.341282565130261	0.170000000000000	-3.56500000000000	8196.39278557114	1.01000000000000	3.51000000000000	0.0100000000000000
-1.32650000000000	41.0761523046092	1.29000000000000	0.482965931863727	0.0779559118236473	0.170000000000000	-3.56500000000000	8232.46492985972	4.51000000000000	10.9600000000000	1.01000000000000
-1.32650000000000	35.7194388777555	1.29000000000000	0.849699398797595	0.496392785571142	0.170000000000000	-3.56500000000000	5364.72945891784	4.76000000000000	18.0100000000001	1.01000000000000
-1.32650000000000	36.3146292585170	1.29000000000000	0.0541082164328657	0.462124248496994	0.170000000000000	-3.56500000000000	7348.69739478958	5.31000000000000	7.06000000000000	1.01000000000000
-1.32650000000000	44.4488977955912	1.29000000000000	0.969939879759519	0.375551102204409	0.170000000000000	-3.56500000000000	6915.83166332665	1	1.11000000000000	0.0100000000000000
-1.32650000000000	51.9879759519038	1.29000000000000	0.877755511022044	0.0770541082164329	0.170000000000000	-3.56500000000000	5238.47695390782	1.51000000000000	1.26000000000000	0.0600000000000000
-1.32650000000000	31.7515030060120	1.29000000000000	0.194388777555110	0.117635270541082	0.170000000000000	-3.56500000000000	9116.23246492986	3.51000000000000	5.16000000000000	1.01000000000000
-1.32650000000000	7.94388777555110	1.29000000000000	0.959919839679359	0.364729458917836	0.170000000000000	-3.56500000000000	1108.21643286573	3.51000000000000	5.21000000000000	1.01000000000000
-1.32650000000000	1.39679358717435	1.29000000000000	0.853707414829659	0.260120240480962	0.170000000000000	-3.56500000000000	8539.07815631263	3	0.510000000000000	4.51000000000000
-1.32650000000000	22.8236472945892	1.29000000000000	0.805611222444890	0.161823647294589	0.170000000000000	-3.56500000000000	10000	4.11000000000000	13.1600000000000	1.01000000000000
-1.32650000000000	93.8496993987976	1.29000000000000	0.553106212424850	0.461222444889780	0.170000000000000	-3.56500000000000	6717.43486973948	1.01000000000000	4.01000000000000	0.0100000000000000
-1.32650000000000	78.3747494989980	1.29000000000000	0.567134268537074	0.135671342685371	0.170000000000000	-3.56500000000000	9170.34068136273	1.15000000000000	2.01000000000000	0.0100000000000000
-1.32650000000000	51.9879759519038	1.29000000000000	1	0.219539078156313	0.170000000000000	-3.56500000000000	2857.71543086172	1.05000000000000	1.51000000000000	0.0100000000000000
-1.32650000000000	73.2164328657315	1.29000000000000	0.312625250501002	0.102304609218437	0.170000000000000	-3.56500000000000	9008.01603206413	1.51000000000000	2.11000000000000	0.0600000000000000
-1.32650000000000	69.6452905811623	1.29000000000000	0.939879759519038	0.237575150300601	0.170000000000000	-3.56500000000000	8340.68136272545	1.06000000000000	3.16000000000000	0.0100000000000000
-1.32650000000000	80.7555110220441	1.29000000000000	0.360721442885772	0.461222444889780	0.170000000000000	-3.56500000000000	3597.19438877756	1	2.31000000000000	0.0100000000000000
-1.32650000000000	17.2685370741483	1.29000000000000	0.454909819639279	0.159118236472946	0.170000000000000	-3.56500000000000	1000	3.51000000000000	5.16000000000000	1.01000000000000
-1.32650000000000	61.9078156312625	1.29000000000000	0.661322645290581	0.347595190380762	0.170000000000000	-3.56500000000000	7132.26452905812	1.05000000000000	2.01000000000000	0.0100000000000000
-1.32650000000000	85.3186372745491	1.29000000000000	0.0360721442885772	0.356613226452906	0.170000000000000	-3.56500000000000	6140.28056112225	4.56000000000000	14.8100000000000	1.01000000000000
